date,time,kwh,building_name
2024-11-01,08:00,45.2,Admin Building
2024-11-01,12:00,52.8,Admin Building
2024-11-01,16:00,48.5,Admin Building
2024-11-01,20:00,35.6,Admin Building
2024-11-02,08:00,46.1,Admin Building
2024-11-02,12:00,54.3,Admin Building
2024-11-02,16:00,49.2,Admin Building
2024-11-02,20:00,36.8,Admin Building
2024-11-03,08:00,44.7,Admin Building
2024-11-03,12:00,51.2,Admin Building
2024-11-03,16:00,47.8,Admin Building
2024-11-03,20:00,34.9,Admin Building
2024-11-04,08:00,47.3,Admin Building
2024-11-04,12:00,55.6,Admin Building
2024-11-04,16:00,50.1,Admin Building
2024-11-04,20:00,37.4,Admin Building
2024-11-05,08:00,45.9,Admin Building
2024-11-05,12:00,53.4,Admin Building
2024-11-05,16:00,48.7,Admin Building
2024-11-05,20:00,35.2,Admin Building
2024-11-06,08:00,38.2,Admin Building
2024-11-06,12:00,42.1,Admin Building
2024-11-06,16:00,40.3,Admin Building
2024-11-06,20:00,28.5,Admin Building
2024-11-07,08:00,36.8,Admin Building
2024-11-07,12:00,40.5,Admin Building
2024-11-07,16:00,38.9,Admin Building
2024-11-07,20:00,27.4,Admin Building
2024-11-08,08:00,46.5,Admin Building
2024-11-08,12:00,54.2,Admin Building
2024-11-08,16:00,49.8,Admin Building
2024-11-08,20:00,36.5,Admin Building
