date,time,kwh,building_name
2024-11-01,08:00,32.4,Library
2024-11-01,12:00,38.7,Library
2024-11-01,16:00,35.2,Library
2024-11-01,20:00,28.6,Library
2024-11-02,08:00,33.1,Library
2024-11-02,12:00,39.5,Library
2024-11-02,16:00,35.9,Library
2024-11-02,20:00,29.2,Library
2024-11-03,08:00,31.8,Library
2024-11-03,12:00,37.6,Library
2024-11-03,16:00,34.3,Library
2024-11-03,20:00,27.9,Library
2024-11-04,08:00,34.2,Library
2024-11-04,12:00,40.8,Library
2024-11-04,16:00,37.1,Library
2024-11-04,20:00,30.1,Library
2024-11-05,08:00,32.9,Library
2024-11-05,12:00,39.2,Library
2024-11-05,16:00,35.6,Library
2024-11-05,20:00,28.9,Library
2024-11-06,08:00,25.7,Library
2024-11-06,12:00,30.3,Library
2024-11-06,16:00,27.8,Library
2024-11-06,20:00,22.4,Library
2024-11-07,08:00,24.5,Library
2024-11-07,12:00,29.1,Library
2024-11-07,16:00,26.7,Library
2024-11-07,20:00,21.6,Library
2024-11-08,08:00,33.5,Library
2024-11-08,12:00,39.8,Library
2024-11-08,16:00,36.2,Library
2024-11-08,20:00,29.4,Library
