date,time,kwh,building_name
2024-11-01,08:00,68.5,Science Lab
2024-11-01,12:00,75.2,Science Lab
2024-11-01,16:00,72.8,Science Lab
2024-11-01,20:00,58.3,Science Lab
2024-11-02,08:00,69.2,Science Lab
2024-11-02,12:00,76.8,Science Lab
2024-11-02,16:00,74.1,Science Lab
2024-11-02,20:00,59.5,Science Lab
2024-11-03,08:00,67.8,Science Lab
2024-11-03,12:00,74.6,Science Lab
2024-11-03,16:00,71.5,Science Lab
2024-11-03,20:00,57.9,Science Lab
2024-11-04,08:00,70.1,Science Lab
2024-11-04,12:00,78.3,Science Lab
2024-11-04,16:00,75.6,Science Lab
2024-11-04,20:00,60.2,Science Lab
2024-11-05,08:00,68.9,Science Lab
2024-11-05,12:00,76.2,Science Lab
2024-11-05,16:00,73.4,Science Lab
2024-11-05,20:00,58.8,Science Lab
2024-11-06,08:00,55.3,Science Lab
2024-11-06,12:00,62.1,Science Lab
2024-11-06,16:00,59.7,Science Lab
2024-11-06,20:00,48.5,Science Lab
2024-11-07,08:00,54.2,Science Lab
2024-11-07,12:00,61.5,Science Lab
2024-11-07,16:00,58.9,Science Lab
2024-11-07,20:00,47.3,Science Lab
2024-11-08,08:00,69.7,Science Lab
2024-11-08,12:00,77.4,Science Lab
2024-11-08,16:00,74.8,Science Lab
2024-11-08,20:00,59.2,Science Lab
