date,time,kwh,building_name
2024-11-01,08:00,55.7,Sports Complex
2024-11-01,12:00,62.3,Sports Complex
2024-11-01,16:00,59.8,Sports Complex
2024-11-01,20:00,51.2,Sports Complex
2024-11-02,08:00,56.4,Sports Complex
2024-11-02,12:00,63.1,Sports Complex
2024-11-02,16:00,60.6,Sports Complex
2024-11-02,20:00,52.1,Sports Complex
2024-11-03,08:00,54.9,Sports Complex
2024-11-03,12:00,61.5,Sports Complex
2024-11-03,16:00,58.9,Sports Complex
2024-11-03,20:00,50.4,Sports Complex
2024-11-04,08:00,57.2,Sports Complex
2024-11-04,12:00,64.6,Sports Complex
2024-11-04,16:00,61.7,Sports Complex
2024-11-04,20:00,53.3,Sports Complex
2024-11-05,08:00,55.8,Sports Complex
2024-11-05,12:00,62.7,Sports Complex
2024-11-05,16:00,60.1,Sports Complex
2024-11-05,20:00,51.8,Sports Complex
2024-11-06,08:00,48.3,Sports Complex
2024-11-06,12:00,53.9,Sports Complex
2024-11-06,16:00,51.6,Sports Complex
2024-11-06,20:00,44.7,Sports Complex
2024-11-07,08:00,47.1,Sports Complex
2024-11-07,12:00,52.8,Sports Complex
2024-11-07,16:00,50.5,Sports Complex
2024-11-07,20:00,43.6,Sports Complex
2024-11-08,08:00,56.8,Sports Complex
2024-11-08,12:00,63.5,Sports Complex
2024-11-08,16:00,60.9,Sports Complex
2024-11-08,20:00,52.4,Sports Complex
